category,nights (domestic),nights (inter),total
Hotel/Resort/Motel/Motor inn,114 419,"41,799","156,217"
Guest house or bed & breakfast,2 078,287,"2,366"
Rented accommodation,36 285,"104,025","140,310"
Caravan park or commercial camping ground,35 812,"2,434","38,246"
Backpacker or hostel, 817,"11,797","12,614"
Other commercial accommodation,3 050,"5,684","8,733"
Own property,17 513,"2,624","20,137"
Friends or relatives property,134 770,"89,255","224,025"
Caravan or camping - non commercial,22 072,"1,200","23,273"
Other private accommodation,7 907,"9,246","17,154"
Other accommodation,22 560,"9,817","32,377"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,